Name,Date,Century,Wikipedia_Link
Aenesidemus,1st century BC[d],BC,https://en.wikipedia.org/wiki/Aenesidemus
Agastya,c.1000 BCE,BC,https://en.wikipedia.org/wiki/Agastya
Alcibiades,c. 450-404Â BC,BC,https://en.wikipedia.org/wiki/Alcibiades
Alcmaeon of Croton,5th century BC[b][c][d][e],BC,https://en.wikipedia.org/wiki/Alcmaeon_of_Croton
Anacharsis,6th century BC,BC,https://en.wikipedia.org/wiki/Anacharsis
Anaxagoras,died 462Â BC[a][b][c][d][e]*,BC,https://en.wikipedia.org/wiki/Anaxagoras
Anaxarchus,fl. 340Â BC[d],BC,https://en.wikipedia.org/wiki/Anaxarchus
Anaxilaus,1st century BC,BC,https://en.wikipedia.org/wiki/Anaxilaus
Anaximander,c. 610-c. 546Â BC[a][b][c][d],BC,https://en.wikipedia.org/wiki/Anaximander
Anaximenes of Miletus,585-525Â BC[a][b][c][d],BC,https://en.wikipedia.org/wiki/Anaximenes_of_Miletus
Andronicus of Rhodes,c. 70Â BC[a],BC,https://en.wikipedia.org/wiki/Andronicus_of_Rhodes
Angiras,c. 11th century BC,BC,https://en.wikipedia.org/wiki/Angiras_(sage)
Anniceris,fl. 300Â BC[a],BC,https://en.wikipedia.org/wiki/Anniceris
Akspada Gautama,8th century bc,BC,https://en.wikipedia.org/wiki/Ny%C4%81ya_S%C5%ABtras
Antiochus of Ascalon,c. 130-68Â BC[a][b][c][d][e],BC,https://en.wikipedia.org/wiki/Antiochus_of_Ascalon
Antiphon,480-403Â BC[d],BC,https://en.wikipedia.org/wiki/Antiphon_(person)
Antisthenes,c. 444-365Â BC[b][c][d],BC,https://en.wikipedia.org/wiki/Antisthenes
Arcesilaus,316-241Â BC[a][b][c][d][e],BC,https://en.wikipedia.org/wiki/Arcesilaus
Archimedes,d. 212Â BC,BC,https://en.wikipedia.org/wiki/Archimedes
Archytas,428-347Â BC[a][d][e],BC,https://en.wikipedia.org/wiki/Archytas
Aristippus the Elder of Cyrene,c. 435-366Â BC[b][c][d],BC,https://en.wikipedia.org/wiki/Aristippus
Aristo of Chios,fl. 250Â BC[d],BC,https://en.wikipedia.org/wiki/Aristo_of_Chios
